-6,275,-1,0
-5,216,-1,0
-7,147,-1,0
-8,82,-1,0
-7,8,-1,0
-66,7,-1,0
-137,7,-1,0
-211,6,-1,0
-270,6,-1,0
-325,7,-1,0
-399,7,-1,0
-481,5,-1,0
-484,-7,-1,1
-397,-10,-1,1
-323,-11,-1,1
-274,-10,-1,1
-212,-8,-1,1
-138,-12,-1,1
-61,-9,-1,1
-6,-11,-1,1
-7,-32,-1,1
-7,-57,-1,1
-5,-98,-1,1
-5,-135,-1,1
-6,-174,-1,1
-6,-216,-1,1
-7,-259,-1,1
7,273,-1,2
6,216,-1,2
4,143,-1,2
11,79,-1,2
8,8,-1,2
54,9,-1,2
110,8,-1,2
164,8,-1,2
220,7,-1,2
281,9,-1,2
336,11,-1,2
397,9,-1,2
430,9,-1,2
475,10,-1,2
6,-10,-1,3
52,-12,-1,3
113,-11,-1,3
165,-11,-1,3
223,-12,-1,3
286,-9,-1,3
335,-11,-1,3
400,-12,-1,3
434,-10,-1,3
483,-11,-1,3
5,-28,-1,3
10,-71,-1,3
9,-133,-1,3
8,-182,-1,3
11,-229,-1,3
8,-266,-1,3
